District,Season,Pesticide,Percentage_use
Nyamasheke,A,Dursiban,0.00
Nyamasheke,A,Rocket,13.75
Nyamasheke,A,Beam,0.00
Nyamasheke,A,Others,12.51
Nyamasheke,B,Dithane,15.38
Nyamasheke,B,Ridomil,0.00
Nyamasheke,B,Dimethoate,0.00
Nyamasheke,B,Cypermethrine,53.85
Nyamasheke,B,Pilkare,0.00
Nyamasheke,B,Rocket,23.08
Nyamasheke,B,Beam,0.00
Nyamasheke,B,Other ,7.69
Nyamasheke,C,Dithane,23.20
Nyamasheke,C,Ridomil,2.06
Nyamasheke,C,Dimethoate,11.86
Nyamasheke,C,Cypermethrin,23.71
Nyamasheke,C,Rocket,21.13
Nyamasheke,C,Beam,0.00
Nyamasheke,C,Others,18.05
Nyanza,A,Dithane,13.86
Nyanza,A,Ridomil,2.95
Nyanza,A,Dimethoate,0.14
Nyanza,A,Cypermethrin,3.23
Nyanza,A,Dursiban,0.00
Nyanza,A,Rocket,73.03
Nyanza,A,Beam,0.00
Nyanza,A,Others,6.79
Nyanza,B,Dithane,13.46
Nyanza,B,Ridomil,0.00
Nyanza,B,Dimethoate,0.00
Nyanza,B,Cypermethrine,15.38
Nyanza,B,Pilkare,0.00
Nyanza,B,Rocket,69.23
Nyanza,B,Beam,0.00
Nyanza,B,Other ,1.92
Nyanza,C,Dithane,11.33
Nyanza,C,Ridomil,1.62
Nyanza,C,Dimethoate,2.59
Nyanza,C,Cypermethrin,4.21
Nyanza,C,Rocket,71.52
Nyanza,C,Beam,0.32
Nyanza,C,Others,8.41
Nyarugenge,A,Dithane,20.61
Nyarugenge,A,Ridomil,0.00
Nyarugenge,A,Dimethoate,27.01
Nyarugenge,A,Cypermethrin,2.62
Nyarugenge,A,Dursiban,0.00
Nyarugenge,A,Rocket,36.76
Nyarugenge,A,Beam,0.00
Nyarugenge,A,Others,13.00
Nyarugenge,B,Dithane,61.54
Nyarugenge,B,Ridomil,0.00
Nyarugenge,B,Dimethoate,0.00
Nyarugenge,B,Cypermethrine,7.69
Nyarugenge,B,Pilkare,0.00
Nyarugenge,B,Rocket,30.77
Nyarugenge,B,Beam,0.00
Nyarugenge,B,Other ,0.00
Nyarugenge,C,Dithane,22.69
Nyarugenge,C,Ridomil,0.00
Nyarugenge,C,Dimethoate,17.65
Nyarugenge,C,Cypermethrin,5.04
Nyarugenge,C,Rocket,30.25
Nyarugenge,C,Beam,0.00
Nyarugenge,C,Others,24.36
Nyaruguru,A,Dithane,17.36
Nyaruguru,A,Ridomil,0.00
Nyaruguru,A,Dimethoate,0.00
Nyaruguru,A,Cypermethrin,18.18
Nyaruguru,A,Dursiban,0.00
Nyaruguru,A,Rocket,53.31
Nyaruguru,A,Beam,0.00
Nyaruguru,A,Others,11.15
Nyaruguru,B,Dithane,37.93
Nyaruguru,B,Ridomil,0.00
Nyaruguru,B,Dimethoate,0.00
Nyaruguru,B,Cypermethrine,17.24
Nyaruguru,B,Pilkare,0.00
Nyaruguru,B,Rocket,13.79
Nyaruguru,B,Beam,0.00
Nyaruguru,B,Other ,31.03
Nyaruguru,C,Dithane,44.44
Nyaruguru,C,Ridomil,0.00
Nyaruguru,C,Dimethoate,0.00
Nyaruguru,C,Cypermethrin,4.94
Nyaruguru,C,Rocket,34.57
Nyaruguru,C,Beam,0.00
Nyaruguru,C,Others,16.05
Rubavu,A,Dithane,34.16
Rubavu,A,Ridomil,18.85
Rubavu,A,Dimethoate,19.19
Rubavu,A,Cypermethrin,23.01
Rubavu,A,Dursiban,0.05
Rubavu,A,Rocket,1.84
Rubavu,A,Beam,0.00
Rubavu,A,Others,2.90
Rubavu,B,Dithane,93.63
Rubavu,B,Ridomil,0.00
Rubavu,B,Dimethoate,0.00
Rubavu,B,Cypermethrine,0.98
Rubavu,B,Pilkare,0.00
Rubavu,B,Rocket,4.41
Rubavu,B,Beam,0.00
Rubavu,B,Other ,0.98
Rubavu,C,Dithane,35.16
Rubavu,C,Ridomil,18.68
Rubavu,C,Dimethoate,14.84
Rubavu,C,Cypermethrin,26.92
Rubavu,C,Rocket,3.85
Rubavu,C,Beam,0.00
Rubavu,C,Others,0.55
Ruhango,A,Dithane,11.80
Ruhango,A,Ridomil,0.00
Ruhango,A,Dimethoate,3.39
Ruhango,A,Cypermethrin,3.77
Ruhango,A,Dursiban,0.00
Ruhango,A,Rocket,77.29
Ruhango,A,Beam,0.01
Ruhango,A,Others,3.74
Ruhango,B,Dithane,10.00
Ruhango,B,Ridomil,0.00
Ruhango,B,Dimethoate,0.00
Ruhango,B,Cypermethrine,22.00
Ruhango,B,Pilkare,0.00
Ruhango,B,Rocket,60.00
Ruhango,B,Beam,0.00
Ruhango,B,Other ,8.00
Ruhango,C,Dithane,25.40
Ruhango,C,Ridomil,2.38
Ruhango,C,Dimethoate,7.14
Ruhango,C,Cypermethrin,7.54
Ruhango,C,Rocket,50.40
Ruhango,C,Beam,0.00
Ruhango,C,Others,7.14
Rulindo,A,Dithane,22.05
Rulindo,A,Ridomil,3.67
Rulindo,A,Dimethoate,6.45
Rulindo,A,Cypermethrin,6.59
Rulindo,A,Dursiban,0.00
Rulindo,A,Rocket,54.95
Rulindo,A,Beam,0.17
Rulindo,A,Others,6.13
Rulindo,B,Dithane,45.92
Rulindo,B,Ridomil,1.02
Rulindo,B,Dimethoate,0.00
Rulindo,B,Cypermethrine,5.10
Rulindo,B,Pilkare,0.00
Rulindo,B,Rocket,41.84
Rulindo,B,Beam,0.00
Rulindo,B,Other ,6.12
Rulindo,C,Dithane,51.69
Rulindo,C,Ridomil,5.62
Rulindo,C,Dimethoate,3.37
Rulindo,C,Cypermethrin,4.49
Rulindo,C,Rocket,28.09
Rulindo,C,Beam,0.00
Rulindo,C,Others,6.73
Rusizi,A,Dithane,23.11
Rusizi,A,Ridomil,0.93
Rusizi,A,Dimethoate,8.55
Rusizi,A,Cypermethrin,31.78
Rusizi,A,Dursiban,0.00
Rusizi,A,Rocket,25.99
Rusizi,A,Beam,0.00
Rusizi,A,Others,9.63
Rusizi,B,Dithane,23.81
Rusizi,B,Ridomil,0.00
Rusizi,B,Dimethoate,4.76
Rusizi,B,Cypermethrine,33.33
