Fertilizer name ,Season ,source of fertilizers,percectages
KCL/MOP,C, Market ,0.00
KCL/MOP,C, Agriculture cooperative ,0.00
KCL/MOP,C, Other source ,0.00
Omax,C,Government (MINAGRI/RAB/NAEB),0.00
Omax,C, Agro dealers ,75.68
Omax,C, NGOs/Companies ,5.41
Omax,C, Market ,8.11
Omax,C, Agriculture cooperative ,10.81
Omax,C, Other source ,0.00
Winner,C,Government (MINAGRI/RAB/NAEB),0.00
Winner,C, Agro dealers ,91.67
Winner,C, NGOs/Companies ,0.00
Winner,C, Market ,0.00
Winner,C, Agriculture cooperative ,8.33
Winner,C, Other source ,0.00
Yara Viva,C,Government (MINAGRI/RAB/NAEB),0.00
Yara Viva,C, Agro dealers ,80.95
Yara Viva,C, NGOs/Companies ,9.52
Yara Viva,C, Market ,4.76
Yara Viva,C, Agriculture cooperative ,4.76
Yara Viva,C, Other source ,0.00
Amidas,C,Government (MINAGRI/RAB/NAEB),0.00
Amidas,C, Agro dealers ,100.00
Amidas,C, NGOs/Companies ,0.00
Amidas,C, Market ,0.00
Amidas,C, Agriculture cooperative ,0.00
Amidas,C, Other source ,0.00
Cereal,C,Government (MINAGRI/RAB/NAEB),0.00
Cereal,C, Agro dealers ,42.86
Cereal,C, NGOs/Companies ,0.00
Cereal,C, Market ,0.00
Cereal,C, Agriculture cooperative ,57.14
Cereal,C, Other source ,0.00
Boaster,C,Government (MINAGRI/RAB/NAEB),0.00
Boaster,C, Agro dealers ,50.00
Boaster,C, NGOs/Companies ,0.00
Boaster,C, Market ,50.00
Boaster,C, Agriculture cooperative ,0.00
Boaster,C, Other source ,0.00
DI Grow,C,Government (MINAGRI/RAB/NAEB),0.00
DI Grow,C, Agro dealers ,74.07
DI Grow,C, NGOs/Companies ,7.41
DI Grow,C, Market ,7.41
DI Grow,C, Agriculture cooperative ,7.41
DI Grow,C, Other source ,3.70
Other type of fertilizer,C,Government (MINAGRI/RAB/NAEB),0.83
Other type of fertilizer,C, Agro dealers ,67.50
Other type of fertilizer,C, NGOs/Companies ,15.00
Other type of fertilizer,C, Market ,8.33
Other type of fertilizer,C, Agriculture cooperative ,7.50
Other type of fertilizer,C, Other source ,0.83
