District,Crop,Season,Average yield
Huye,Bananas,A,10339.53
Huye,Cooking banana,A,10297.38
Huye,Dessert banana,A,8627.03
Huye,Banana for beer,A,11241.73
Huye,Bean,A,646.46
Huye,Bush bean,A,637.28
Huye,Climbing bean,A,674.90
Huye,Pea,A,809.96
Huye,Groundnuts,A,338.17
Huye,Soybean,A,510.55
Huye,vegetables,A,7555.70
Huye,Fruits,A,3344.24
Huye,Fodder crops,A,17185.44
Huye,Other crops,A,13438.40
Huye,Maize,B,1026.31
Huye,Sorghum,B,957.83
Huye,Paddy rice,B,3449.78
Huye,Wheat,B,0.00
Huye,Chia seeds,B,0.00
Huye,Other Cereals,B,867.88
Huye,Cassava,B,18923.73
Huye,Sweet potatoes,B,8518.85
Huye,Irish potatoes,B,2842.65
Huye,Yams & Taro,B,4408.77
Huye,Bananas,B,9736.94
Huye,Cooking Banana,B,11691.85
Huye,Dessert banana,B,10136.31
Huye,Banana for beer,B,8700.26
Huye,Beans,B,607.75
Huye,Bush bean,B,600.96
Huye,Climbing bean,B,618.01
Huye,Peas,B,520.94
Huye,Ground nuts,B,329.00
Huye,Soya beans,B,478.08
Huye,Vegetables,B,11321.74
Huye,Fruits,B,999.61
Huye,Fodder crops,B,7768.56
Huye,Other crops,B,1699.61
Huye,Tubers and Roots,C,5751.11
Huye,Sweet potatoes,C,6112.04
Huye,Irish potatoes,C,4780.18
Huye,Bean,C,948.06
Huye,Bush bean,C,1003.86
Huye,Climbing bean,C,0.00
Huye,Peas,C,628.26
Huye,Soya beans,C,817.20
Huye,Vegetables,C,8411.25
Kamonyi,Maize,A,1635.83
Kamonyi,Sorghum,A,0.00
Kamonyi,Paddy rice,A,3302.38
Kamonyi,Wheat,A,0.00
Kamonyi,Other cereals,A,0.00
Kamonyi,Cassava,A,13737.61
Kamonyi,Sweet potato,A,5047.89
Kamonyi,Irish potato,A,3448.98
Kamonyi,Yams & Taro,A,4988.67
Kamonyi,Bananas,A,9731.65
Kamonyi,Cooking banana,A,11199.82
Kamonyi,Dessert banana,A,6841.62
Kamonyi,Banana for beer,A,9932.93
Kamonyi,Bean,A,588.47
Kamonyi,Bush bean,A,569.19
Kamonyi,Climbing bean,A,705.88
Kamonyi,Pea,A,407.92
Kamonyi,Groundnuts,A,347.17
Kamonyi,Soybean,A,546.73
Kamonyi,vegetables,A,6769.72
Kamonyi,Fruits,A,7555.70
Kamonyi,Fodder crops,A,4035.84
Kamonyi,Other crops,A,12576.09
Kamonyi,Maize,B,1009.48
Kamonyi,Sorghum,B,1101.46
Kamonyi,Paddy rice,B,2710.15
Kamonyi,Wheat,B,0.00
Kamonyi,Chia seeds,B,877.70
Kamonyi,Other Cereals,B,793.48
Kamonyi,Cassava,B,16521.24
Kamonyi,Sweet potatoes,B,6286.07
Kamonyi,Irish potatoes,B,3175.48
Kamonyi,Yams & Taro,B,9136.46
Kamonyi,Bananas,B,9415.88
Kamonyi,Cooking Banana,B,16959.01
Kamonyi,Dessert banana,B,10703.58
Kamonyi,Banana for beer,B,8288.68
Kamonyi,Beans,B,556.78
Kamonyi,Bush bean,B,569.89
Kamonyi,Climbing bean,B,490.69
Kamonyi,Peas,B,685.09
Kamonyi,Ground nuts,B,499.43
Kamonyi,Soya beans,B,463.16
Kamonyi,Vegetables,B,8959.73
Kamonyi,Fruits,B,6754.74
Kamonyi,Fodder crops,B,4980.14
Kamonyi,Other crops,B,9231.00
Kamonyi,Tubers and Roots,C,5235.07
Kamonyi,Sweet potatoes,C,5210.48
Kamonyi,Irish potatoes,C,5327.00
Kamonyi,Bean,C,1264.44
Kamonyi,Bush bean,C,1267.59
Kamonyi,Climbing bean,C,0.00
Kamonyi,Peas,C,1438.37
Kamonyi,Soya beans,C,1029.93
Kamonyi,Vegetables,C,11199.74
Karongi,Maize,A,1595.49
Karongi,Sorghum,A,0.00
Karongi,Paddy rice,A,0.00
Karongi,Wheat,A,0.00
Karongi,Other cereals,A,0.00
Karongi,Cassava,A,7391.34
Karongi,Sweet potato,A,7504.76
Karongi,Irish potato,A,8462.83
Karongi,Yams & Taro,A,6047.38
Karongi,Bananas,A,11864.05
Karongi,Cooking banana,A,12384.39
Karongi,Dessert banana,A,12009.69
Karongi,Banana for beer,A,11677.85
Karongi,Bean,A,909.56
Karongi,Bush bean,A,614.75
Karongi,Climbing bean,A,1059.16
Karongi,Pea,A,834.75
Karongi,Groundnuts,A,310.81
Karongi,Soybean,A,603.01
