District,Crop,Season,Average yield
Rulindo,Banana for beer,A,9305.33
Rulindo,Bean,A,560.93
Rulindo,Bush bean,A,503.22
Rulindo,Climbing bean,A,616.44
Rulindo,Pea,A,681.99
Rulindo,Groundnuts,A,436.42
Rulindo,Soybean,A,592.75
Rulindo,vegetables,A,10669.77
Rulindo,Fruits,A,6534.94
Rulindo,Fodder crops,A,9961.49
Rulindo,Other crops,A,18973.53
Rulindo,Maize,B,1163.82
Rulindo,Sorghum,B,1127.63
Rulindo,Paddy rice,B,3894.25
Rulindo,Wheat,B,1530.22
Rulindo,Chia seeds,B,0.00
Rulindo,Other Cereals,B,944.94
Rulindo,Cassava,B,15609.09
Rulindo,Sweet potatoes,B,7193.92
Rulindo,Irish potatoes,B,4814.33
Rulindo,Yams & Taro,B,6781.69
Rulindo,Bananas,B,12592.79
Rulindo,Cooking Banana,B,19065.63
Rulindo,Dessert banana,B,13230.29
Rulindo,Banana for beer,B,9984.58
Rulindo,Beans,B,913.78
Rulindo,Bush bean,B,701.68
Rulindo,Climbing bean,B,1078.29
Rulindo,Peas,B,642.13
Rulindo,Ground nuts,B,439.40
Rulindo,Soya beans,B,665.71
Rulindo,Vegetables,B,10186.50
Rulindo,Fruits,B,6814.05
Rulindo,Fodder crops,B,24453.73
Rulindo,Other crops,B,6956.72
Rulindo,Tubers and Roots,C,6144.06
Rulindo,Sweet potatoes,C,5087.85
Rulindo,Irish potatoes,C,6460.18
Rulindo,Bean,C,1205.58
Rulindo,Bush bean,C,1205.58
Rulindo,Climbing bean,C,0.00
Rulindo,Peas,C,0.00
Rulindo,Soya beans,C,0.00
Rulindo,Vegetables,C,12093.94
Rusizi,Maize,A,1547.95
Rusizi,Sorghum,A,470.01
Rusizi,Paddy rice,A,4316.21
Rusizi,Wheat,A,0.00
Rusizi,Other cereals,A,0.00
Rusizi,Cassava,A,11044.15
Rusizi,Sweet potato,A,6486.33
Rusizi,Irish potato,A,3903.90
Rusizi,Yams & Taro,A,6924.05
Rusizi,Bananas,A,9203.03
Rusizi,Cooking banana,A,8186.96
Rusizi,Dessert banana,A,7472.90
Rusizi,Banana for beer,A,10065.79
Rusizi,Bean,A,665.06
Rusizi,Bush bean,A,677.62
Rusizi,Climbing bean,A,619.76
Rusizi,Pea,A,901.33
Rusizi,Groundnuts,A,553.18
Rusizi,Soybean,A,614.17
Rusizi,vegetables,A,9460.21
Rusizi,Fruits,A,9468.38
Rusizi,Fodder crops,A,7729.63
Rusizi,Other crops,A,3607.68
Rusizi,Maize,B,1081.58
Rusizi,Sorghum,B,685.70
Rusizi,Paddy rice,B,5228.23
Rusizi,Wheat,B,0.00
Rusizi,Chia seeds,B,113.33
Rusizi,Other Cereals,B,0.00
Rusizi,Cassava,B,9504.19
Rusizi,Sweet potatoes,B,8754.48
Rusizi,Irish potatoes,B,6502.15
Rusizi,Yams & Taro,B,7587.15
Rusizi,Bananas,B,13053.17
Rusizi,Cooking Banana,B,19128.35
Rusizi,Dessert banana,B,14798.30
Rusizi,Banana for beer,B,9427.62
Rusizi,Beans,B,866.69
Rusizi,Bush bean,B,796.76
Rusizi,Climbing bean,B,1021.67
Rusizi,Peas,B,573.55
Rusizi,Ground nuts,B,373.48
Rusizi,Soya beans,B,556.98
Rusizi,Vegetables,B,7419.32
Rusizi,Fruits,B,5080.71
Rusizi,Fodder crops,B,8914.00
Rusizi,Other crops,B,3640.65
Rusizi,Tubers and Roots,C,7595.49
Rusizi,Sweet potatoes,C,8962.09
Rusizi,Irish potatoes,C,6013.94
Rusizi,Bean,C,1431.87
Rusizi,Bush bean,C,1431.87
Rusizi,Climbing bean,C,0.00
Rusizi,Peas,C,0.00
Rusizi,Soya beans,C,1514.39
Rusizi,Vegetables,C,12983.37
Rutsiro,Maize,A,1488.26
Rutsiro,Sorghum,A,0.00
Rutsiro,Paddy rice,A,0.00
Rutsiro,Wheat,A,601.28
Rutsiro,Other cereals,A,0.00
Rutsiro,Cassava,A,12051.64
Rutsiro,Sweet potato,A,7659.35
Rutsiro,Irish potato,A,9166.85
Rutsiro,Yams & Taro,A,7979.44
Rutsiro,Bananas,A,11170.53
Rutsiro,Cooking banana,A,12142.65
Rutsiro,Dessert banana,A,7771.96
Rutsiro,Banana for beer,A,11510.21
Rutsiro,Bean,A,940.00
Rutsiro,Bush bean,A,473.90
Rutsiro,Climbing bean,A,1016.67
Rutsiro,Pea,A,702.20
Rutsiro,Groundnuts,A,0.00
Rutsiro,Soybean,A,811.38
Rutsiro,vegetables,A,11207.85
Rutsiro,Fruits,A,9678.81
Rutsiro,Fodder crops,A,28312.23
Rutsiro,Other crops,A,4556.04
Rutsiro,Maize,B,1451.19
Rutsiro,Sorghum,B,930.21
Rutsiro,Paddy rice,B,0.00
Rutsiro,Wheat,B,478.55
Rutsiro,Chia seeds,B,0.00
Rutsiro,Other Cereals,B,549.57
Rutsiro,Cassava,B,14889.46
Rutsiro,Sweet potatoes,B,7068.74
Rutsiro,Irish potatoes,B,4084.35
Rutsiro,Yams & Taro,B,8497.44
Rutsiro,Bananas,B,12955.07
Rutsiro,Cooking Banana,B,21548.49
Rutsiro,Dessert banana,B,15190.95
Rutsiro,Banana for beer,B,9563.87
Rutsiro,Beans,B,845.55
Rutsiro,Bush bean,B,645.05
Rutsiro,Climbing bean,B,878.07
Rutsiro,Peas,B,691.53
Rutsiro,Ground nuts,B,0.00
Rutsiro,Soya beans,B,481.28
Rutsiro,Vegetables,B,10260.58
Rutsiro,Fruits,B,7300.73
Rutsiro,Fodder crops,B,13642.46
Rutsiro,Other crops,B,6784.85
Rutsiro,Tubers and Roots,C,9912.75
Rutsiro,Sweet potatoes,C,6421.75
Rutsiro,Irish potatoes,C,13780.62
Rutsiro,Bean,C,0.00
Rutsiro,Bush bean,C,0.00
Rutsiro,Climbing bean,C,0.00
Rutsiro,Peas,C,309.48
Rutsiro,Soya beans,C,0.00
Rutsiro,Vegetables,C,8591.65
Rwamagana,Maize,A,1433.64
Rwamagana,Sorghum,A,0.00
Rwamagana,Paddy rice,A,3562.00
Rwamagana,Wheat,A,0.00
Rwamagana,Other cereals,A,375.15
Rwamagana,Cassava,A,18585.96
Rwamagana,Sweet potato,A,6919.43
Rwamagana,Irish potato,A,6023.64
Rwamagana,Yams & Taro,A,3026.37
Rwamagana,Bananas,A,13228.71
Rwamagana,Cooking banana,A,16733.18
Rwamagana,Dessert banana,A,8068.00
Rwamagana,Banana for beer,A,8824.81
Rwamagana,Bean,A,588.77
Rwamagana,Bush bean,A,583.18
Rwamagana,Climbing bean,A,814.22
Rwamagana,Pea,A,632.87
Rwamagana,Groundnuts,A,225.68
Rwamagana,Soybean,A,354.95
Rwamagana,vegetables,A,5092.72
Rwamagana,Fruits,A,2749.30
Rwamagana,Fodder crops,A,16352.13
Rwamagana,Other crops,A,124563.48
Rwamagana,Maize,B,865.14
Rwamagana,Sorghum,B,1197.26
Rwamagana,Paddy rice,B,4887.29
Rwamagana,Wheat,B,0.00
Rwamagana,Chia seeds,B,461.32
Rwamagana,Other Cereals,B,832.61
Rwamagana,Cassava,B,17896.76
Rwamagana,Sweet potatoes,B,4936.72
Rwamagana,Irish potatoes,B,3846.94
Rwamagana,Yams & Taro,B,6677.04
Rwamagana,Bananas,B,14582.69
Rwamagana,Cooking Banana,B,17868.83
Rwamagana,Dessert banana,B,9635.06
Rwamagana,Banana for beer,B,7890.61
Rwamagana,Beans,B,627.04
Rwamagana,Bush bean,B,614.84
Rwamagana,Climbing bean,B,1013.27
Rwamagana,Peas,B,288.52
Rwamagana,Ground nuts,B,384.34
Rwamagana,Soya beans,B,433.89
Rwamagana,Vegetables,B,9917.03
Rwamagana,Fruits,B,6232.27
Rwamagana,Fodder crops,B,8870.64
Rwamagana,Other crops,B,1731.77
Rwamagana,Tubers and Roots,C,4187.90
Rwamagana,Sweet potatoes,C,4259.58
Rwamagana,Irish potatoes,C,3949.01
Rwamagana,Bean,C,961.05
Rwamagana,Bush bean,C,961.30
Rwamagana,Climbing bean,C,0.00
Rwamagana,Peas,C,0.00
Rwamagana,Soya beans,C,438.85
Rwamagana,Vegetables,C,10119.80
