Crop,Year,Season,Cultivated Area,Harvested Area,Production of crop,yield of major crop (kg/ha)
Vegetables ,2022,C,5097.00,5097.00,55355.00,10860.00
Fruits,2020,A,7256.00,4778.00,23542.00,988.00
Fruits,2020,B,7824.00,4978.00,24830.00,1068.00
Fruits,2020,C,-,-,-,-
Fruits,2021,A,11206.00,4599.00,25275.00,1018.00
Fruits,2021,B,8371.00,4429.00,25340.00,1050.00
Fruits,2021,C,-,-,-,-
Fruits,2022,A,10914.00,3402.00,21261.00,6250.00
Fruits,2022,B,10373.00,4213.00,26872.00,6378.00
Fruits,2022,C,-,-,-,-
